"","nodesize=20","nodesize=30","nodesize=40","nodesize=50","nodesize=60","nodesize=70","nodesize=80","nodesize=90","nodesize=100","nodesize=110","nodesize=120","nodesize=130","nodesize=140","nodesize=150","nodesize=160","nodesize=170","nodesize=180","nodesize=190","nodesize=200"
"mtry=1",0.699986492887382,0.69680235357941,0.694780287809594,0.693127315812226,0.69365871610697,0.692470291698196,0.690304444291261,0.690482464367131,0.688382271157834,0.687776898282067,0.687611022089151,0.686459958132744,0.686173925378262,0.684924224327839,0.684609241884551,0.683159363313343,0.683356720647498,0.682686371293439,0.681846503881938
"mtry=2",0.722516543172785,0.720818952176565,0.715445531109461,0.715276789903338,0.712220735272632,0.710050744652307,0.708562241724812,0.704871684374667,0.705293948080784,0.703189937864822,0.702455889791624,0.700556688970633,0.699105517463215,0.696983197165007,0.696105452986706,0.694812805781093,0.693131728153093,0.692355752469179,0.692221640729768
"mtry=4",0.747218756461026,0.739827005692021,0.73861878520274,0.73542633684178,0.733450095215549,0.728917933969963,0.727042464786182,0.723757621682038,0.722364875876886,0.719593714286478,0.719438263159609,0.717287830489423,0.715997738641866,0.714046140116822,0.712852524764015,0.710525519884345,0.708726741838153,0.707046606691186,0.705865124017791
"mtry=8",0.747218756461026,0.739827005692021,0.73861878520274,0.73542633684178,0.733450095215549,0.728917933969963,0.727042464786182,0.723757621682038,0.722364875876886,0.719593714286478,0.719438263159609,0.717287830489423,0.715997738641866,0.714046140116822,0.712852524764015,0.710525519884345,0.708726741838153,0.707046606691186,0.705865124017791
