,nodesize=106,nodesize=107,nodesize=108,nodesize=109,nodesize=110,nodesize=111,nodesize=112,nodesize=113,nodesize=114,nodesize=115,nodesize=116,nodesize=117,nodesize=118,nodesize=119,nodesize=120,nodesize=121,nodesize=122,nodesize=123,nodesize=124,nodesize=125,nodesize=126,nodesize=127,nodesize=128,nodesize=129,nodesize=130,nodesize=131,nodesize=132,nodesize=133,nodesize=134,nodesize=135,nodesize=136,nodesize=137,nodesize=138,nodesize=139,nodesize=140,nodesize=141,nodesize=142,nodesize=143,nodesize=144,nodesize=145,nodesize=146,nodesize=147,nodesize=148,nodesize=149,nodesize=150,nodesize=151,nodesize=152,nodesize=153,nodesize=154
mtry=1,0.696338255,0.696191128,0.696902516,0.696878969,0.696567311,0.696105376,0.696045818,0.695764,0.696317911,0.695857611,0.695774825,0.696045742,0.695154978,0.695450474,0.695272068,0.694969452,0.695749193,0.695117155,0.694993894,0.695263425,0.695330633,0.695211465,0.695369353,0.694957183,0.695298588,0.695601855,0.695502198,0.695304042,0.696022798,0.695538856,0.694998404,0.695226734,0.695926594,0.695892078,0.695698998,0.695780755,0.695652237,0.695736482,0.69567807,0.695914751,0.695789903,0.695700933,0.695584846,0.695769305,0.696127696,0.695730322,0.696147756,0.695801157,0.695721797
,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
