"","x"
"(Intercept)",-0.215495881369486
"`dGF%`",0.294145196914229
"`d5v5_xGF%`",0.0846894947943817
"`dPK%`",0.0897609532809092
"dTime_Led",-0.0232471991642066
"dROWins",-0.056517293468416
