"","GF%","AdjGF%","5v5_GF%","5v5_xGF%","5v5_CF%","5v5_HDCF%","Time_Led","5v5_Sh%","5v5_Sv%","PP%","PK%","Wins","ROWins"
"5 years",0.345818872837587,0.335898843587844,0.274551489508498,0.243688667948102,0.231023864310785,0.205011157960668,0.068120421159182,-0.0746501113071584,0.17043712999791,-0.102924299290102,0.215330256433755,0.137387205345125,0.115479433450823
"10 years",0.341683476245459,0.331712831811045,0.242666764271969,0.206081819612636,0.181860809898575,0.171058990430294,0.207470874336605,-0.0317124899367437,0.112282025274265,0.0600171810812474,0.203897528484275,0.141761357516591,0.148845040287711
