"","nodesize=50","nodesize=51","nodesize=52","nodesize=53","nodesize=54","nodesize=55","nodesize=56","nodesize=57","nodesize=58","nodesize=59","nodesize=60","nodesize=61","nodesize=62","nodesize=63","nodesize=64","nodesize=65","nodesize=66","nodesize=67","nodesize=68","nodesize=69"
"mtry=2",0.34,0.353333333333333,0.346666666666667,0.346666666666667,0.346666666666667,0.346666666666667,0.346666666666667,0.353333333333333,0.346666666666667,0.346666666666667,0.346666666666667,0.346666666666667,0.333333333333333,0.346666666666667,0.346666666666667,0.34,0.366666666666667,0.353333333333333,0.353333333333333,0.36
"mtry=3",0.346666666666667,0.346666666666667,0.346666666666667,0.346666666666667,0.346666666666667,0.346666666666667,0.34,0.34,0.333333333333333,0.34,0.346666666666667,0.346666666666667,0.346666666666667,0.34,0.353333333333333,0.34,0.353333333333333,0.333333333333333,0.346666666666667,0.34
"mtry=4",0.346666666666667,0.346666666666667,0.346666666666667,0.346666666666667,0.346666666666667,0.346666666666667,0.333333333333333,0.34,0.34,0.34,0.346666666666667,0.34,0.346666666666667,0.353333333333333,0.36,0.346666666666667,0.353333333333333,0.34,0.346666666666667,0.346666666666667
"mtry=5",0.353333333333333,0.346666666666667,0.353333333333333,0.34,0.333333333333333,0.333333333333333,0.34,0.34,0.34,0.34,0.353333333333333,0.346666666666667,0.34,0.34,0.346666666666667,0.346666666666667,0.353333333333333,0.346666666666667,0.366666666666667,0.346666666666667
"mtry=6",0.34,0.353333333333333,0.34,0.333333333333333,0.326666666666667,0.333333333333333,0.333333333333333,0.333333333333333,0.34,0.333333333333333,0.326666666666667,0.34,0.34,0.346666666666667,0.346666666666667,0.346666666666667,0.353333333333333,0.353333333333333,0.346666666666667,0.353333333333333
"mtry=7",0.34,0.34,0.346666666666667,0.34,0.333333333333333,0.34,0.34,0.34,0.34,0.333333333333333,0.34,0.326666666666667,0.333333333333333,0.333333333333333,0.34,0.333333333333333,0.353333333333333,0.346666666666667,0.34,0.353333333333333
"mtry=8",0.346666666666667,0.34,0.333333333333333,0.34,0.34,0.346666666666667,0.34,0.346666666666667,0.346666666666667,0.34,0.34,0.333333333333333,0.333333333333333,0.34,0.34,0.34,0.346666666666667,0.353333333333333,0.353333333333333,0.353333333333333
