Team,Season,HDCF,Time Led,Playoff Wins,GF_EN,GA_EN,PP%,PK%,W,ROW,,,,,
PHI,2010,50.92,21.28,14,7,5,21.5,83.0,41,37,,,,,
ARI,2010,54.16,19.67,3,6,7,14.6,84.5,50,36,,,,,
PIT,2010,54.65,20.57,7,6,10,17.2,84.1,47,39,,,,,
S.J,2010,48.28,23.15,8,8,4,21.0,85.0,51,44,,,,,
STL,2010,49.93,19.63,-1,5,10,16.9,86.8,40,33,,,,,
T.B,2010,48.09,17.9,-1,5,6,19.3,80.1,34,30,,,,,
TOR,2010,52.51,13.7,-1,3,11,14.0,74.7,30,26,,,,,
VAN,2010,52.44,21.73,6,11,7,20.9,81.6,49,45,,,,,
WSH,2010,50.47,26.4,3,11,1,25.2,78.8,54,49,,,,,
ANA,2011,44.88,20.58,2,4,8,23.5,81.3,47,43,,,,,
ATL,2011,46.41,16.27,-1,2,15,18.3,77.5,34,29,,,,,
BOS,2011,48.14,22.52,16,12,6,16.2,82.6,46,44,,,,,
BUF,2011,53.54,19.8,3,6,10,19.4,83.0,43,38,,,,,
CGY,2011,52.62,18.05,-1,6,12,19.5,81.2,41,32,,,,,
CAR,2011,47.11,16.37,-1,5,6,15.9,81.3,40,35,,,,,
CHI,2011,49.39,23.03,3,10,10,23.1,79.2,44,38,,,,,
COL,2011,50.81,12.98,-1,3,14,18.5,76.1,30,24,,,,,
CBJ,2011,51.47,15.15,-1,9,7,14.0,80.3,34,29,,,,,
DAL,2011,46.71,18.58,-1,5,11,18.0,80.1,42,37,,,,,
DET,2011,50.61,20.57,7,7,6,22.3,82.3,47,43,,,,,
EDM,2011,43.07,13.95,-1,7,10,14.5,76.9,25,23,,,,,
FLA,2011,52.62,15.28,-1,3,9,13.1,84.6,30,26,,,,,
L.A,2011,54.53,20.23,2,7,5,16.1,85.5,46,36,,,,,
MIN,2011,42.48,17.83,-1,8,10,18.2,82.8,39,36,,,,,
MTL,2011,45.66,21.73,3,4,8,19.7,84.4,44,41,,,,,
NSH,2011,49,23.03,6,12,4,15.2,84.9,44,38,,,,,
N.J,2011,48.83,16.57,-1,9,6,14.3,83.4,38,35,,,,,
NYI,2011,44.13,14.93,-1,8,10,17.2,83.2,30,26,,,,,
NYR,2011,55.41,18,1,7,8,16.9,83.7,44,35,,,,,
OTT,2011,48.88,16.43,-1,7,7,17.5,83.7,32,30,,,,,
PHI,2011,54.76,24.1,4,11,6,16.6,82.7,47,44,,,,,
ARI,2011,47.8,20.7,0,14,3,15.9,78.4,43,38,,,,,
PIT,2011,51.61,21.17,3,10,6,15.8,86.1,49,39,,,,,
